URL,ImageURL,Brand,Product Name,Ratings,Price,Discount,Specs,,,,,,,,,,,,
https://www.amazon.in/Michael-Kors-Analog-Womens-Watch-MK3558/dp/B01MQVHM1B/ref=sr_1_5?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-5&xpid=NIOcc7XmuV-Ps,https://m.media-amazon.com/images/I/71s6MDUsiKS._AC_UL320_.jpg,Michael Kors,Michael Kors Norie Analog White Dial Gold Band Women's Stainless Steel Watch-MK3558,4.2,"10,797",36%,,,,,,,,,,,,,
https://www.amazon.in/Fossil-Virginia-Analog-Mother-Watch-ES3716/dp/B00M7NEN1U/ref=sr_1_6?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-6&xpid=NIOcc7XmuV-Ps,https://m.media-amazon.com/images/I/712OfcV350L._AC_UL320_.jpg,Fossil,"Fossil Women Leather Virginia Analog Mother of Pearl Dial Watch-Es3716, Band Color-Multicolor",4.3,"12,495",,,,,,,,,,,,,,
https://www.amazon.in/Michael-Kors-Analog-Womens-Watch-MK4340/dp/B07QSKLVNX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-7&xpid=NIOcc7XmuV-Ps,https://m.media-amazon.com/images/I/710qWcsRmCL._AC_UL320_.jpg,Michael Kors,"Michael Kors Analog Gold Dial Women's Watch-MK4340 Stainless Steel, Rose Gold Strap",4.5,"14,995",,,,,,,,,,,,,,
https://www.amazon.in/Fossil-Womens-Courier-Stainless-Chronograph/dp/B07H4ZMTML/ref=sr_1_8?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-8&xpid=NIOcc7XmuV-Ps,https://m.media-amazon.com/images/I/619uG4OdXRL._AC_UL320_.jpg,Fossil,Fossil Modern Courier Stainless Steel Analog Women's Watch BQ3377 (Rose Gold Dial Rose Gold Colored Strap),4.4,"10,146",19%,,,,,,,,,,,,,
https://www.amazon.in/Tommy-Hilfiger-Analog-Womens-Watch-TH1781893/dp/B07CVCNFLW/ref=sr_1_9?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-9&xpid=NIOcc7XmuV-Ps,https://m.media-amazon.com/images/I/61uPRCZb9NL._AC_UL320_.jpg,Tommy Hilfiger,Quartz Multifunction Blue Dial Metal Strap Watch for Women-NETH1781893,4.3,"13,393",16%,"Watch Information
Band Colour
Gold
Band Material
Metal
Band Width
18 Millimeters
Bezel Function
No bezel available
Brand
Tommy Hilfiger
Case Diameter
36 Millimeters
Case Material
Metal
Clasp
Tang Buckle
Dial Colour
Blue
Crystal Material
Mineral
Display Type
Analog
Case Shape
Round
Item Weight
150 g
Model Number
TH1781893
Part Number
TH1781893
Special Features
Water Resistant
Warranty Type
Manufacturer
Movement
Quartz
Water Resistance Depth
30 Meters
Warranty
If this product is sold by Amazon, please review the manufacturer’s website for warranty information. If this product is sold by another party, please contact the seller directly for warranty information for this product. You may also be able to find warranty information on the manufacturer’s website.",,,,,,,,,,,,
https://www.amazon.in/Titan-Pearls-Quartz-Women-NS95224WM01F-NT95224WM01F/dp/B0CLRHKW4J/ref=sr_1_10?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-10&xpid=NIOcc7XmuV-Ps,https://m.media-amazon.com/images/I/71RryP07qLL._AC_UL320_.jpg,Titan,Raga Power Pearls Quartz Analog White Dial with Loose Pearls Metal Strap Watch for Women-NS95224WM01F/NT95224WM01F,4,"12,745",,"Watch Information
Band Colour
Rose Gold
Band Material
Brass
Band Width
12
Bezel Function
12 Hour Time Display
Bezel Material
Brass
Brand
Titan
Calendar Type
No Calendar
Case Diameter
33.5
Case Material
Brass
Case Thickness
6.5
Clasp
Hook Buckle
Dial Colour
Multicolor
Crystal Material
Mineral Glass
Display Type
Analog
Case Shape
Round
Item Weight
300 g
Model Number
95224WM01F
Part Number
95224WM01F
Warranty Type
Limited
Movement
Quartz
Water Resistance Depth
30 Meters
Band size
Womens Standard
Warranty
If this product is sold by Amazon, please review the manufacturer’s website for warranty information. If this product is sold by another party, please contact the seller directly for warranty information for this product. You may also be able to find warranty information on the manufacturer’s website.",,,,,,,,,,,,
https://www.amazon.in/Fossil-Stella-Analog-Womens-Watch-ES5106/dp/B09875M1VZ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-11&xpid=NIOcc7XmuV-Ps,https://m.media-amazon.com/images/I/71zxvAhWLBL._AC_UL320_.jpg,Fossil,Fossil Stella Sport Stainless Steel Analog Rose Gold Dial Women's Watch-Es5106,4.2,"10,146",30%,,,,,,,,,,,,,
https://www.amazon.in/Titan-Analog-Purple-Womens-Watch-95206QM01/dp/B0BQ7741TY/ref=sr_1_12?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-12&xpid=NIOcc7XmuV-Ps,https://m.media-amazon.com/images/I/71ietCBx5AL._AC_UL320_.jpg,Titan,Purple Glitz Quartz Analog Stainless Steel Strap Watch for Women-NS95206QM01,3.6,"12,580",,"Watch Information
Band Colour
Purple
Band Material
Stainless Steel
Band Width
36 Millimeters
Bezel Function
No bezel available
Bezel Material
No bezel available
Brand
Titan
Calendar Type
No Calendar
Case Diameter
42.5 Millimeters
Case Material
Stainless Steel
Case Thickness
7.95 Millimeters
Clasp
Push Button Deployment Clasp
Collection
purple glitz
Dial Colour
Purple
Crystal Material
Mineral Glass
Display Type
Analog
Case Shape
Round
Item Weight
100 g
Model Number
95206QM01
Part Number
95206QM01
Warranty Type
Manufacturer
Movement
Quartz
Water Resistance Depth
50 Meters
Band size
Womens Standard
Warranty Description
1 year
Warranty
If this product is sold by Amazon, please review the manufacturer’s website for warranty information. If this product is sold by another party, please contact the seller directly for warranty information for this product. You may also be able to find warranty information on the manufacturer’s website.",,,,,,,,,,,,
https://www.amazon.in/Fossil-Stainless-Steel-Womens-Fashion/dp/B07GDMS143/ref=sr_1_14?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-14&xpid=NIOcc7XmuV-Ps,https://m.media-amazon.com/images/I/51CqZpXqSJL._AC_UL320_.jpg,Fossil,"Fossil Fashion Analog Rose Gold Dial Women's Watch-BQ3036 Stainless Steel, Rose Gold Strap",4.2,"10,146",30%,,,,,,,,,,,,,
https://www.amazon.in/Tommy-Hilfiger-Analog-Womens-Watch/dp/B07D2DK6F8/ref=sr_1_15?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-15&xpid=NIOcc7XmuV-Ps,https://m.media-amazon.com/images/I/71SG9VELs2S._AC_UL320_.jpg,Tommy Hilfiger,Quartz Analog Rose Gold Dial Stainless Steel Strap Watch for Women-NETH1781922,4.2,"10,320",14%,"Watch Information
Band Colour
Rose Gold
Band Material
Stainless Steel
Band Width
19 Millimeters
Bezel Function
no bezel available
Brand
Tommy Hilfiger
Case Diameter
38 Millimeters
Case Material
Stainless Steel
Clasp
Buckle
Dial Colour
Rose Gold
Crystal Material
Mineral
Display Type
Analog
Case Shape
Round
Item Weight
150 g
Model Number
NETH1781922
Part Number
TH1781922
Special Features
Water Resistant
Warranty Type
Manufacturer
Movement
Quartz
Water Resistance Depth
30 Meters
Warranty
If this product is sold by Amazon, please review the manufacturer’s website for warranty information. If this product is sold by another party, please contact the seller directly for warranty information for this product. You may also be able to find warranty information on the manufacturer’s website.",,,,,,,,,,,,
